page,image_index,file_name,source_name,bytes,sha256,path,unique_path
6,7,page-06-image-07.png,X23.png,1981,aa0ddb255cde57ac53b860efcbd4a5fcb903d36a55c49f112efe67c7237ad113,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\aa0ddb255cde57ac.png
6,8,page-06-image-08.png,X25.png,17197,0ace19d478369258e3b741c6b38ef34e689aa751758cfbda102c9527243af9a4,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\0ace19d478369258.png
6,9,page-06-image-09.png,X27.png,596647,6ab8ad6fd1c4841bc2baaf19b15e98fcda557de2a4302ae1e72ee24e387cf9e8,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ab8ad6fd1c4841b.png
6,10,page-06-image-10.png,X29.png,363471,5ce1041221078f2c50c37594b3b4c0bd6b808940acddfd593c40d41311801938,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\5ce1041221078f2c.png
6,11,page-06-image-11.png,X30.png,13535,20c45d2eb7228f84eb25cefa5677f7f252cadc512f1b3e653deb14609b4c7ada,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-11.png,D:\git\outputs\pdf\site_image_0616\unique_images\20c45d2eb7228f84.png
6,12,page-06-image-12.png,X31.png,9576,81e67edb7fa915ec5751307bcaedb18d4bb92aeebd54c4d109ab6b95822e50c0,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-12.png,D:\git\outputs\pdf\site_image_0616\unique_images\81e67edb7fa915ec.png
6,13,page-06-image-13.png,X33.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-06\page-06-image-13.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
7,1,page-07-image-01.png,X4.png,31408,4c26da790269d6bac36cc1e86a609ebc37c8e7319a8bd8821d12b5e675a26066,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-01.png,D:\git\outputs\pdf\site_image_0616\unique_images\4c26da790269d6ba.png
7,2,page-07-image-02.png,X9.png,7729,9f42f45a3549a9a94d7cdb32c0f79959326b14da880a22bc187fb6ee05beaa69,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-02.png,D:\git\outputs\pdf\site_image_0616\unique_images\9f42f45a3549a9a9.png
7,3,page-07-image-03.png,X11.png,956924,1ce916a54c6fed27662013bf0f69b13f4a7387b65237f3b49000e8e5d337ff68,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-03.png,D:\git\outputs\pdf\site_image_0616\unique_images\1ce916a54c6fed27.png
7,4,page-07-image-04.png,X14.png,17197,0ace19d478369258e3b741c6b38ef34e689aa751758cfbda102c9527243af9a4,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-04.png,D:\git\outputs\pdf\site_image_0616\unique_images\0ace19d478369258.png
7,5,page-07-image-05.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-05.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
7,6,page-07-image-06.png,X20.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
7,7,page-07-image-07.png,X25.png,43526,b0b03a3c64fb4f0c1094edfc10327e01eea97c7d3dead34a04dad30fc516b7f0,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\b0b03a3c64fb4f0c.png
7,8,page-07-image-08.png,X27.png,257139,41cc318c1f996dfe91807d8ba9992de6c8e84db94db4754bdb55448bf4e3d4b1,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\41cc318c1f996dfe.png
7,9,page-07-image-09.png,X16.png,29551,e1ec2e9944a2911b673272ec6e04ca76fa9ebb4f2ef2c2535342c488b5f49a46,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\e1ec2e9944a2911b.png
7,10,page-07-image-10.png,X20.png,29276,fc87a5144016144156cd7f5ea29252de83eb9727ab8a2702defd5faeb00baf58,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\fc87a51440161441.png
7,11,page-07-image-11.png,X33.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-07\page-07-image-11.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
